time_elapsed,num_cars,avg_speed,avg_density,lane_distribution,avg_num_cars_per_lane,happiness_factor,avg_time_to_exit
57,51,4.784313725490196,0.51,[10, 9, 10, 12, 10],10.2,6.901960784313726,19.191709844559586
58,50,4.72,0.5,[11, 8, 11, 8, 12],10.0,6.76,19.08955223880597
59,47,4.382978723404255,0.47,[10, 7, 13, 8, 9],9.4,7.404255319148936,19.107843137254903
60,47,4.382978723404255,0.47,[9, 9, 9, 10, 10],9.4,7.191489361702128,19.053140096618357
61,48,4.375,0.48,[8, 10, 12, 10, 8],9.6,7.25,19.066985645933013
62,51,4.450980392156863,0.51,[7, 11, 11, 13, 9],10.2,7.137254901960785,19.05188679245283
63,52,4.5576923076923075,0.52,[9, 11, 9, 12, 11],10.4,7.346153846153846,19.15277777777778
64,54,4.5,0.54,[10, 11, 11, 11, 11],10.8,7.296296296296297,19.259090909090908
65,56,4.464285714285714,0.56,[10, 11, 12, 12, 11],11.2,7.178571428571429,19.555555555555557
66,58,4.517241379310345,0.58,[13, 11, 11, 11, 12],11.6,7.0,19.953191489361704
67,60,4.533333333333333,0.6,[9, 13, 13, 15, 10],12.0,6.966666666666667,20.195918367346938
68,59,4.423728813559322,0.59,[11, 14, 10, 13, 11],11.8,7.220338983050848,20.458498023715414
69,59,4.3559322033898304,0.59,[8, 15, 10, 15, 11],11.8,7.4576271186440675,20.717054263565892
70,61,4.524590163934426,0.61,[11, 16, 10, 14, 10],12.2,7.278688524590164,20.82758620689655
71,62,4.629032258064516,0.62,[10, 17, 9, 13, 13],12.4,7.161290322580645,20.765151515151516
72,64,4.609375,0.64,[13, 13, 12, 15, 11],12.8,7.21875,20.685393258426966
73,65,4.492307692307692,0.65,[12, 12, 15, 12, 14],13.0,7.230769230769231,20.77037037037037
74,67,4.582089552238806,0.67,[12, 17, 13, 13, 12],13.4,7.014925373134329,20.863970588235293
75,68,4.602941176470588,0.68,[18, 13, 10, 16, 11],13.6,6.705882352941177,20.92753623188406
76,70,4.585714285714285,0.7,[14, 17, 15, 11, 13],14.0,6.485714285714286,21.021428571428572
77,72,4.763888888888889,0.72,[17, 16, 14, 16, 9],14.4,6.361111111111111,21.174825174825173
78,72,4.875,0.72,[13, 18, 16, 16, 9],14.4,5.944444444444445,21.208191126279864
79,72,4.930555555555555,0.72,[14, 15, 14, 15, 14],14.4,5.861111111111111,21.292358803986712
80,71,4.929577464788732,0.71,[13, 15, 16, 16, 11],14.2,5.577464788732394,21.516129032258064
