time_elapsed,num_cars,avg_speed,avg_density,lane_distribution,avg_num_cars_per_lane,happiness_factor,avg_time_to_exit
0,2,8.0,0.02,[0, 1, 1, 0, 0],0.4,10.0,0
1,6,5.833333333333333,0.06,[0, 2, 2, 1, 1],1.2,10.0,0
2,9,5.555555555555555,0.09,[0, 3, 3, 1, 2],1.8,10.0,0
3,12,5.583333333333333,0.12,[0, 4, 3, 2, 3],2.4,9.916666666666666,0
4,17,5.882352941176471,0.17,[1, 5, 4, 3, 4],3.4,9.882352941176471,0
5,21,5.761904761904762,0.21,[1, 6, 5, 4, 5],4.2,9.761904761904763,0
6,25,4.84,0.25,[2, 6, 6, 5, 6],5.0,9.64,0
7,27,4.851851851851852,0.27,[3, 6, 6, 5, 7],5.4,9.592592592592593,0
8,30,4.733333333333333,0.3,[4, 7, 6, 5, 8],6.0,9.533333333333333,0
9,33,4.515151515151516,0.33,[5, 7, 7, 6, 8],6.6,9.484848484848484,0
10,35,4.171428571428572,0.35,[5, 8, 7, 7, 8],7.0,9.457142857142857,11.0
11,36,4.194444444444445,0.36,[6, 8, 7, 7, 8],7.2,9.444444444444445,11.5
12,37,3.918918918918919,0.37,[6, 8, 7, 8, 8],7.4,9.432432432432432,11.5
13,37,3.8378378378378377,0.37,[6, 8, 7, 8, 8],7.4,9.405405405405405,12.333333333333334
14,40,3.75,0.4,[7, 8, 8, 9, 8],8.0,9.45,13.2
15,42,3.857142857142857,0.42,[8, 8, 9, 9, 8],8.4,9.452380952380953,13.5
16,45,3.7777777777777777,0.45,[9, 9, 10, 9, 8],9.0,9.466666666666667,13.428571428571429
17,46,3.8260869565217392,0.46,[9, 10, 10, 9, 8],9.2,9.434782608695652,13.75
18,49,3.673469387755102,0.49,[9, 11, 11, 9, 9],9.8,9.387755102040817,14.3
19,50,3.64,0.5,[10, 11, 11, 10, 8],10.0,9.34,14.727272727272727
20,54,3.6666666666666665,0.54,[11, 12, 12, 10, 9],10.8,9.333333333333334,15.166666666666666
21,57,3.4210526315789473,0.57,[12, 12, 13, 11, 9],11.4,9.31578947368421,15.166666666666666
22,58,3.3620689655172415,0.58,[13, 12, 13, 11, 9],11.6,9.275862068965518,15.461538461538462
23,62,3.274193548387097,0.62,[13, 13, 14, 12, 10],12.4,9.274193548387096,16.0
24,63,3.238095238095238,0.63,[14, 13, 14, 12, 10],12.6,9.238095238095237,17.210526315789473
25,65,3.276923076923077,0.65,[14, 14, 14, 13, 10],13.0,9.261538461538462,18.73076923076923
26,66,3.3484848484848486,0.66,[14, 14, 15, 12, 11],13.2,9.257575757575758,19.696969696969695
27,62,3.1129032258064515,0.62,[14, 13, 15, 9, 11],12.4,9.225806451612904,20.055555555555557
28,61,3.1147540983606556,0.61,[15, 10, 15, 9, 12],12.2,9.245901639344263,20.055555555555557
29,65,3.123076923076923,0.65,[16, 11, 15, 10, 13],13.0,9.261538461538462,20.055555555555557
30,67,3.2238805970149254,0.67,[16, 11, 15, 11, 14],13.4,9.26865671641791,20.055555555555557
31,70,3.0142857142857142,0.7,[17, 11, 16, 11, 15],14.0,9.228571428571428,20.44736842105263
32,73,2.835616438356164,0.73,[18, 11, 17, 11, 16],14.6,9.205479452054794,21.41860465116279
33,75,2.84,0.75,[19, 10, 18, 11, 17],15.0,9.186666666666667,22.408163265306122
34,80,2.95,0.8,[20, 11, 19, 12, 18],16.0,9.2125,23.29090909090909
35,78,2.8205128205128207,0.78,[20, 11, 16, 12, 19],15.6,9.179487179487179,23.603448275862068
36,77,2.857142857142857,0.77,[20, 12, 13, 13, 19],15.4,9.194805194805195,23.85
37,80,2.9,0.8,[20, 13, 13, 14, 20],16.0,9.2125,24.567164179104477
38,82,2.7804878048780486,0.82,[21, 14, 13, 14, 20],16.4,9.182926829268293,25.22077922077922
39,84,2.738095238095238,0.84,[21, 15, 13, 15, 20],16.8,9.166666666666666,25.766666666666666
40,82,2.7560975609756095,0.82,[19, 16, 14, 15, 18],16.4,9.158536585365853,25.877551020408163
41,82,2.8048780487804876,0.82,[16, 17, 14, 16, 19],16.4,9.146341463414634,25.90566037735849
42,80,2.7625,0.8,[13, 17, 14, 16, 20],16.0,9.1625,26.035087719298247
43,81,2.6790123456790123,0.81,[13, 18, 14, 16, 20],16.2,9.160493827160494,26.181818181818183
44,82,2.707317073170732,0.82,[14, 15, 15, 17, 21],16.4,9.158536585365853,26.256
45,80,2.675,0.8,[14, 12, 16, 17, 21],16.0,9.15,26.317460317460316
46,81,2.7160493827160495,0.81,[14, 12, 15, 18, 22],16.2,9.160493827160494,26.35433070866142
47,84,2.7023809523809526,0.84,[15, 13, 16, 18, 22],16.8,9.166666666666666,26.458015267175572
48,86,2.744186046511628,0.86,[15, 14, 16, 19, 22],17.2,9.162790697674419,26.55072463768116
49,88,2.6136363636363638,0.88,[15, 14, 16, 20, 23],17.6,9.125,26.632653061224488
50,87,2.632183908045977,0.87,[15, 14, 16, 21, 21],17.4,9.10344827586207,26.633986928104576
51,85,2.5294117647058822,0.85,[15, 14, 16, 21, 19],17.0,9.070588235294117,26.765822784810126
52,84,2.4285714285714284,0.84,[15, 15, 16, 21, 17],16.8,9.071428571428571,27.049382716049383
53,87,2.5172413793103448,0.87,[16, 15, 17, 22, 17],17.4,9.068965517241379,27.343373493975903
54,89,2.5280898876404496,0.89,[17, 15, 17, 22, 18],17.8,9.07865168539326,27.647058823529413
55,92,2.760869565217391,0.92,[18, 14, 18, 23, 19],18.4,9.097826086956522,27.99421965317919
56,94,2.74468085106383,0.94,[18, 14, 19, 23, 20],18.8,9.085106382978724,28.3125
57,95,2.6210526315789475,0.95,[18, 15, 20, 22, 20],19.0,9.042105263157895,28.52247191011236
58,96,2.5416666666666665,0.96,[18, 15, 20, 22, 21],19.2,9.03125,28.738888888888887
59,97,2.5257731958762886,0.97,[19, 15, 20, 22, 21],19.4,9.02061855670103,29.14673913043478
60,99,2.6363636363636362,0.99,[19, 15, 21, 22, 22],19.8,9.04040404040404,29.717277486910994
61,100,2.72,1.0,[20, 15, 22, 21, 22],20.0,9.04,30.402985074626866
62,105,2.8095238095238093,1.05,[21, 16, 23, 22, 23],21.0,9.076190476190476,31.162790697674417
63,109,2.7155963302752295,1.09,[22, 17, 24, 22, 24],21.8,9.073394495412844,31.918454935622318
64,112,2.75,1.12,[23, 18, 24, 22, 25],22.4,9.080357142857142,32.49003984063745
65,110,2.7818181818181817,1.1,[24, 18, 22, 21, 25],22.0,9.063636363636364,32.88014981273408
66,108,2.787037037037037,1.08,[25, 19, 20, 19, 25],21.6,9.055555555555555,33.18505338078292
67,106,2.7547169811320753,1.06,[25, 19, 18, 18, 26],21.2,9.047169811320755,33.45578231292517
68,104,2.6923076923076925,1.04,[26, 19, 16, 16, 27],20.8,9.048076923076923,33.65584415584416
69,103,2.679611650485437,1.03,[27, 19, 14, 16, 27],20.6,9.029126213592233,33.88198757763975
70,104,2.7403846153846154,1.04,[26, 20, 13, 17, 28],20.8,9.009615384615385,34.071005917159766
71,103,2.854368932038835,1.03,[25, 21, 14, 14, 29],20.6,9.03883495145631,34.23728813559322
72,102,2.735294117647059,1.02,[23, 22, 14, 13, 30],20.4,9.019607843137255,34.34501347708895
73,103,2.7766990291262137,1.03,[21, 23, 15, 13, 31],20.6,9.019417475728156,34.401028277634964
74,101,2.772277227722772,1.01,[20, 23, 13, 14, 31],20.2,9.009900990099009,34.49261083743843
75,100,2.85,1.0,[19, 22, 13, 15, 31],20.0,9.0,34.616470588235295
76,99,2.9393939393939394,0.99,[18, 20, 13, 16, 32],19.8,9.05050505050505,34.65324384787472
77,98,2.9081632653061225,0.98,[17, 19, 13, 16, 33],19.6,9.040816326530612,34.644067796610166
78,98,3.0510204081632653,0.98,[17, 17, 14, 16, 34],19.6,9.040816326530612,34.67806841046278
79,93,3.0,0.93,[16, 16, 11, 16, 34],18.6,9.021505376344086,34.74903474903475
80,84,3.011904761904762,0.84,[13, 14, 10, 14, 33],16.8,9.023809523809524,34.75232774674115
81,85,2.9647058823529413,0.85,[14, 14, 10, 15, 32],17.0,9.070588235294117,34.67324955116697
82,82,2.951219512195122,0.82,[13, 14, 9, 15, 31],16.4,9.048780487804878,34.58506944444444
83,78,3.0256410256410255,0.78,[13, 15, 7, 13, 30],15.6,9.064102564102564,34.50847457627118
84,77,2.961038961038961,0.77,[13, 16, 6, 13, 29],15.4,9.064935064935066,34.45757071547421
85,77,2.8051948051948052,0.77,[13, 17, 5, 14, 28],15.4,9.012987012987013,34.40589198036007
86,80,2.825,0.8,[14, 18, 6, 15, 27],16.0,9.025,34.30497592295345
87,80,2.7625,0.8,[15, 18, 7, 15, 25],16.0,8.9875,34.13636363636363
88,80,2.8375,0.8,[15, 18, 7, 16, 24],16.0,8.975,33.94333843797856
89,82,2.8780487804878048,0.82,[16, 19, 8, 17, 22],16.4,9.012195121951219,33.73952095808383
90,80,2.825,0.8,[16, 20, 9, 14, 21],16.0,8.9625,33.52794117647059
91,77,2.8181818181818183,0.77,[16, 21, 9, 12, 19],15.4,8.96103896103896,33.29377713458756
92,77,2.74025974025974,0.77,[17, 21, 10, 12, 17],15.4,8.948051948051948,33.02133712660029
93,75,2.6533333333333333,0.75,[17, 21, 9, 13, 15],15.0,8.893333333333333,32.760504201680675
94,74,2.675675675675676,0.74,[17, 21, 9, 14, 13],14.8,8.945945945945946,32.50206896551724
95,76,2.8684210526315788,0.76,[18, 22, 10, 14, 12],15.2,8.973684210526315,32.231393775372126
96,75,2.7066666666666666,0.75,[18, 22, 10, 14, 11],15.0,8.96,31.966887417218544
97,73,2.7260273972602738,0.73,[18, 22, 10, 14, 9],14.6,8.95890410958904,31.77720207253886
98,70,2.8285714285714287,0.7,[15, 22, 11, 14, 8],14.0,8.985714285714286,31.65272496831432
99,69,3.0,0.69,[13, 23, 12, 15, 6],13.8,9.072463768115941,31.60820895522388
100,69,3.1159420289855073,0.69,[12, 23, 13, 16, 5],13.8,9.130434782608695,31.64626682986536
101,68,3.161764705882353,0.68,[12, 24, 14, 14, 4],13.6,9.117647058823529,31.718599033816425
102,67,3.074626865671642,0.67,[12, 24, 14, 13, 4],13.4,9.104477611940299,31.78997613365155
103,68,3.3088235294117645,0.68,[13, 23, 14, 14, 4],13.6,9.117647058823529,31.819575471698112
104,69,3.1594202898550723,0.69,[14, 22, 14, 14, 5],13.8,9.130434782608695,31.835280373831775
105,69,3.1449275362318843,0.69,[15, 21, 14, 14, 5],13.8,9.159420289855072,31.838747099767982
106,70,3.2142857142857144,0.7,[15, 19, 15, 15, 6],14.0,9.2,31.841983852364475
107,71,3.1971830985915495,0.71,[15, 18, 16, 16, 6],14.2,9.225352112676056,31.829324169530356
108,70,3.1857142857142855,0.7,[15, 17, 16, 16, 6],14.0,9.228571428571428,31.804323094425484
109,72,3.1805555555555554,0.72,[15, 18, 17, 16, 6],14.4,9.222222222222221,31.7864406779661
